id;code;name;cargo_class_value
1;731011;1- (2-аминоэтил), пиперазин;3
2;712184;1, 2-дибромэтан (этилендибромид);3
3;712201;1, 2-дихлорбензол;3
4;712220;1, 2-дихлорэтан;3
5;712235;1, 2-дихлорэтилен;3
6;712216;1, 4-дихлорбензол;3
7;711177;1, 4-диэтилбензол;3
8;742033;1, 6-гексаметиленди-изоцианат;3
9;712076;1-бром-3-хлорпропан;3
10;721111;2, 3-дибромпропанол-1;3
11;467112;2, 4-динитрофенолы, содержащие не менее 15% воды;3
12;467108;2, 4-динитрохлорбензол;3
13;711302;2-метилнафталин (бета-метилнафталин), технический;3
14;467146;2-нафтол технический;3
15;722256;2-ХЛОРФЕНОЛ;3
16;722133;4-ПЕНТЕНОЛ;3
17;467080;N, N-диметиланилин;3
18;731166;N, N-диметилацетамид;3
19;731170;N, N-диметилформамид;3
20;467127;N, N-диэтиланилин;3
21;467343;N-Метиланилин;3
22;723206;N-метилпирролидон;3
23;732192;N-этиланилин (моноэтиланилин, экстралин);3
24;641010;Абажуры, кроме стеклянных;3
25;51017;Абрикосы свежие;2
26;486014;АБСОРБЕНТЫ;3
27;381015;Автобензозаправщики;3
28;381025;АВТОБУСЫ;3
29;381034;Автодезоустановки;3
30;421015;Автодрезины, перевозимые на своих осях;2
31;391017;Автодрезины, перевозимые не на своих осях;3
32;452013;Автокамеры (камеры автомобильные) резиновые новые;3
33;692012;Автокамеры (камеры автомобильные) резиновые старые;3
34;453016;Автокамеры резиновые, бывшие в употреблении, восстановленные;3
35;391021;АВТОКАРЫ;3
36;213017;Автолы, не поименованные в алфавите;2
37;381049;Автомастерские передвижные;3
38;683013;Автоматы игровые;3
39;681018;Автоматы музыкальные;3
40;381053;Автомобили ассенизационные;3
41;381068;Автомобили грузовые в ремонт и из ремонта;3
42;381072;Автомобили грузовые, не поименованные в алфавите;3
43;683028;Автомобили детские педальные;3
44;381000;Автомобили и их части;3
45;381087;Автомобили легковые;3
46;381091;Автомобили специальные;3
47;381104;Автомобили, оборудованные кино-, радио и электроустановками, сейсмостанциями;3
48;421026;Автомотрисы, перевозимые на своих осях;2
49;391036;Автомотрисы, перевозимые не на своих осях;3
50;693250;Автопоезд груженый, используемый в системе контрейлерных перевозок;2
51;693195;Автопоезд порожний, используемый в системе контрейлерных перевозок, до или после перевозки груза;2
52;361011;АВТОПОИЛКИ;2
53;452028;Автопокрышки (покрышки автомобильные) резиновые новые;3
54;692027;Автопокрышки (покрышки автомобильные) резиновые старые;3
55;453020;Автопокрышки резиновые, бывшие в употреблении восстановленные;3
56;381119;Авторефрижераторы;3
57;381123;АВТОСИДЕНИЯ;3
58;414011;Автосцепки и их части;3
59;381138;АВТОТЯГАЧИ;3
60;381142;АВТОФУРГОНЫ;3
61;381157;Автоцементовозы;3
62;381161;АВТОЦИСТЕРНЫ;3
63;232018;Агальматолит;1
64;516018;Агар, агароид;2
65;241017;Агат;1
66;722035;АГИДОЛ;3
67;141016;Агломерат железорудный;1
68;142019;Агломерат марганцевый;1
69;151018;Агломерат титаномагнититовой руды;1
70;141020;Агломерат хромитовой руды;1
71;232022;Аглопорит;1
72;351448;Агрегаты для производства мягких кровельных материалов;3
73;361026;Агрегаты электростригальные;2
74;78019;Агримус (лигнин гидролизный для удобрения);2
75;732012;Адиподинитрил;3
76;441019;АДРЕНАЛИН;2
77;488015;Азот жидкий, охлажденный;3
78;488020;АЗОТ СЖАТЫЙ;3
79;488034;Азота гемиоксид;3
80;433012;Азотобактерин;2
81;730002;АЗОТСОДЕРЖАЩИЕ ОРГАНИЧЕСКИЕ СОЕДИНЕНИЯ;3
82;436010;АЗОФОСФАТ;2
83;51021;Айва свежая;2
84;757016;АКАРИЗОЛ;3
85;682010;АКВАЛАНГИ;3
86;757024;АКВАНИТ;3
87;473017;Аккумуляторы и батареи аккумуляторные электрические;3
88;731024;АКРИЛАМИД;3
89;461012;Акрилнитрилстирол;3
90;441023;АКРИХИН;2
91;486024;АКТИНАП;3
92;233010;Алебастр (гипс) в кусках и молотый;1
93;132017;АЛИГНИН;3
94;441038;Алкалоиды растительные, не поименованные в алфавите;2
95;757039;АЛКАМОН ОС-2;3
96;215012;Алкилбензин (алкилат);2
97;215027;Алкилбензол;2
98;725708;Алкилсульфонат;3
99;722010;АЛКИЛФЕНОЛ;3
100;712019;Аллихлорид (аллил хлористый);3
101;74019;Алоэ (растение лекарственное);2
102;51036;Алыча свежая;2
103;684016;АЛЬБОМЫ;2
104;564011;АЛЬБУМИН;3
105;723013;Альдегид акриловый (акролеин) ингибированный;3
106;723028;Альдегид глутаровый, водный раствор;3
107;723032;Альдегид кротоновый;3
108;723047;Альдегид масляный (бутаналь);3
109;723009;Альдегиды, кетоны и ангидриды;3
110;723051;Альдегиды, не поименованные в алфавите;3
111;241021;АЛЬМАНДИН;1
112;331622;АЛЬФЕНИД;3
113;483011;Алюминат натрия;3
114;331016;Алюминий и сплавы алюминиевые первичные в болванках, слитках, чушках и других формах;3
115;483026;Алюминий нитрат (алюминий азотнокислый);3
116;331020;Алюминий порошок непокрытый;3
117;489018;Алюминия гидрид;3
118;482019;Алюминия гидроксид;2
119;489022;Алюминия карбид;3
120;489037;Алюминия силицид (алюминий кремнистый);3
121;483030;Алюминия сульфат (алюминий сернокислый);3
122;485017;Алюминия фторид (алюминий фтористый);3
123;485021;Алюминия хлорид (алюминий хлористый, алюмохлорид), раствор;3
124;485036;Алюминия хлорид безводный;3
125;487012;Амальгамы щелочно-земельных металлов;3
126;487027;Амальгамы щелочных металлов;3
127;442011;АМБРА;3
128;489395;АМИДОЛЫ;3
129;725019;АМИЛАЦЕТАТ;3
130;757043;АМИЛЕНИТ;3
131;732027;АМИЛНИТРАТ;3
132;489041;Амилы и амилины;3
133;731560;Аминокислоты кормовые не поименованные в алфавите;3
134;731039;АМИНОНАФТОЛ;3
135;461027;АМИНОПЛАСТЫ;3
136;467019;Аминотолуолы (толуидины);3
137;467023;АМИНОФЕНОЛЫ;3
138;731043;Амины С17-С20 кубовые;3
139;731058;Амины С17-С20 первичные;3
140;731005;Амины, амиды и их производные;3
141;731062;Амины, амиды и их производные, не поименованные в алфавите;3
142;488161;Аммиак безводный сжиженный;3
143;432005;Аммиак водный (вода аммиачная);2
144;488049;Аммиак жидкий безводный;3
145;433031;АММИАКАТ;2
146;432018;Аммиак-растворы в воде, с массовой долей более 10 %, но не более 35 %;2
147;483045;Аммония бисульфит;3
148;485040;Аммония бромид (аммоний бромистый);3
149;485055;Аммония гидрофторид твердый;3
150;483064;Аммония карбонат (аммоний углекислый);3
151;485061;Аммония кремнефторид (аммоний кремнефтористый, гексафторсиликат аммония);3
152;483079;Аммония молибдат;3
153;483056;Аммония нитрат (аммоний азотнокислый);3
154;483083;Аммония пероксо-дисульфат (аммоний надсернокислый);3
155;483098;Аммония перхлорат (аммоний хлорнокислый);3
156;485074;Аммония роданид (аммоний роданистый);3
157;433027;Аммония сульфат (аммоний сернокислый);2
158;485089;Аммония сульфид, раствор;3
159;483115;Аммония фосфат (аммоний фосфорнокислый трехзамещенный);3
160;485093;Аммония фторид (аммоний фтористый);3
161;485106;Аммония хлорид (аммоний хлористый, нашатырь);3
162;483122;Аммония хромат (аммоний хромовокислый);3
163;436025;АММОФОС;2
164;483134;Амония дихромат (аммоний двухромовокислый);3
165;751013;Анабазин-сульфат;3
166;51040;Ананасы свежие;2
167;582019;Ананасы сушеные;2
168;723066;Ангидрид малеиновый;3
169;723070;Ангидрид уксусный;3
170;723085;Ангидрид фталевый технический;3
171;723329;Ангидриды органических кислот, не поименованные в алфавите;3
172;233025;Ангидрит (шпат полевой и шпат легкий) в кусках и молотый;1
173;241036;АНДЕЗИТЫ;1
174;463018;Анид (волокно синтетическое);3
175;731077;Анизидин (аминоанизол);3
176;712610;Анизоилхлорид (анизоил хлористый);3
177;467042;Анилин (аминобензол);3
178;467038;Анилин солянокислый (анилина гидрохлорид);3
179;441042;Антибиотики, не поименованные в алфавите;2
180;441057;АНТИНИКОТИН;2
181;475015;Антиокислитель древесносмоляной (ингибитор);3
182;757058;Антиоксидант ВС-1;3
183;475022;Антиполимеризатор древесносмоляной;3
184;751028;Антисептики и средства дезинфицирующие, не поименованные в алфавите;3
185;721018;Антифризы этиленгликолевые;3
186;721022;Антифризы, не поименованные в алфавите;3
187;467057;АНТРАХИНОН;3
188;711016;АНТРАЦЕН;3
189;161016;АНТРАЦИТ;1
190;431017;Апатиты, не поименованные в алфавите;1
191;53012;Апельсины свежие;2
192;402029;Аппаратура электроаккустическая;3
193;402014;Аппараты и приборы телеграфные, телефонные и их части;3
194;401007;Аппараты и приборы, кроме электробытовых;3
195;401026;Аппараты, машины, приборы и инструменты различного назначения;3
196;401011;Аппараты, оборудование кинематографическое и фотографическое;3
197;400004;АППАРАТЫ, ПРИБОРЫ И ПРЕДМЕТЫ ЭЛЕКТРО- И РАДИОТЕХНИКИ;3
198;441061;АПТЕЧКИ;2
199;232037;Арагонит;1
200;54015;Арахис (земляной орех);2
201;264019;АРБОЛИТ;1
202;42018;Арбузы свежие;2
203;151022;АРГЕНТИТ;1
204;241040;АРГИЛЛИТ;1
205;488072;Аргон и кислород в смеси;3
206;488068;Аргон охлажденный, жидкий;3
207;488087;Аргон с примесью ядовитых газов;3
208;488053;АРГОН СЖАТЫЙ;3
209;757062;АРЗАМИТ;3
210;264023;Арки бетонные, цементные и шлаковые;1
211;411013;Арматура газовая и водопроводная;3
212;416017;Арматура котловая из цветных металлов, не поименованная в алфавите;3
213;411028;Арматура котловая из черных металлов;3
214;41015;Артишок свежий;2
215;304019;Асбест амфиболовый (актинолит, амозит, антофиллит, кроцидолит, тремолит и др.);1
216;304004;Асбест и слюда;1
217;304112;АСБЕСТ ХРИЗОТИЛОВЫЙ;1
218;261010;АСБЕСТИН;3
219;261025;АСБЕСТИТ;3
220;261031;АСБОЗОНОЛИТ;3
221;261044;АСБОЗУРИТ;3
